Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
7.512137586066438,000315Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,526.8,54.89,,7215,none,A3,36.148682,-79.795818,8,186,0.367,2,1,10,1,3,perhour,2,2,0,0,[],[],59930288,0.1,-9.7
0.4712548011189142,000315Z,adda23,mode_s,DAL1604 ,N992AT,B712,ground,,0.0,,,5113,none,A3,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326335,7.0,-21.2
6.883178028113733,000320Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,522.9,57.5,64,1770,none,A2,36.200546,-80.000153,8,186,0.169,2,1,9,1,3,perhour,2,2,0,0,[],[],24846297,0.1,-15.4
6.78683019478,000320Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1425,126.1,79.49,0,1200,none,A7,35.984985,-79.927597,9,75,0.338,2,1,10,2,3,perhour,2,2,0,0,[],[],350808,0.3,-22.1
6.257824914962956,000320Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,413.6,212.46,,1620,none,A3,36.185241,-79.867158,8,186,0.184,2,1,10,1,3,perhour,2,2,0,0,[],[],49755042,0.0,-11.2
8.242113447183346,000320Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,526.8,54.89,,7215,none,A3,36.15582,-79.783299,8,186,0.302,2,1,10,1,3,perhour,2,2,0,0,[],[],59930334,0.0,-15.5
0.4712548011189142,000320Z,adda23,mode_s,DAL1604 ,N992AT,B712,ground,,0.0,,,5113,none,A3,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326336,4.1,-21.1
7.002013007546083,000325Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,522.3,56.4,-64,1770,none,A2,36.206909,-79.988136,8,186,0.158,2,1,9,1,3,perhour,2,2,0,0,[],[],24846342,0.1,-11.5
6.774945550759138,000325Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,126.1,79.49,0,1200,none,A7,35.985352,-79.924965,9,75,1.831,2,1,10,2,3,perhour,2,2,0,0,[],[],350820,0.3,-23.4
5.685694864088007,000325Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,413.6,212.46,,1620,none,A3,36.177187,-79.873469,8,186,0.096,2,1,10,1,3,perhour,2,2,0,0,[],[],49755081,0.1,-12.9
